eco_weights_choice,WUE_flood_choice,WUE_spray_choice,adoption_choice,climate_choice,eco_min_separation_choice,eco_min_duration_choice,eco_ctf_choice,AWD_surface_choice,AWD_gw_choice,crop_price_choice,profit,surface_index,gw_index,gwlevel_mean,gwlevel_min
,,,,,,,,,,,,,,,
Default,min,min,min,min,med,med,med,1,0.5,0.5,144796.2533,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,min,min,med,med,med,1,0.5,1,2304278.282,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,min,min,med,med,med,1,1,0.5,207129.5867,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,min,min,med,med,med,1,1,1,2498000.504,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,min,max,med,med,med,1,0.5,0.5,144796.2533,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,min,min,max,med,med,med,1,0.5,1,2304278.282,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,min,min,max,med,med,med,1,1,0.5,207129.5867,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,min,min,max,med,med,med,1,1,1,2498000.504,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,min,max,min,med,med,med,1,0.5,0.5,199364.6667,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,max,min,med,med,med,1,0.5,1,2473868.351,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,max,min,med,med,med,1,1,0.5,285617.3627,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,max,min,med,med,med,1,1,1,2741928.2,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,min,max,max,med,med,med,1,0.5,0.5,199364.6667,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,min,max,max,med,med,med,1,0.5,1,2473868.351,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,min,max,max,med,med,med,1,1,0.5,285617.3627,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,min,max,max,med,med,med,1,1,1,2741928.2,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,max,min,min,med,med,med,1,0.5,0.5,146125.6533,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,min,min,med,med,med,1,0.5,1,2308409.849,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,min,min,med,med,med,1,1,0.5,208458.9867,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,min,min,med,med,med,1,1,1,2502132.071,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,min,max,med,med,med,1,0.5,0.5,146125.6533,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,max,min,max,med,med,med,1,0.5,1,2308409.849,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,max,min,max,med,med,med,1,1,0.5,208458.9867,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,max,min,max,med,med,med,1,1,1,2502132.071,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,max,max,min,med,med,med,1,0.5,0.5,256326,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,max,min,med,med,med,1,0.5,1,2650895.24,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,max,min,med,med,med,1,1,0.5,330551.0827,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,max,min,med,med,med,1,1,1,2881575.154,38.28,0,-13.19065584,-13.9418885
,,,,,,,,,,,,,,,
Default,min,max,max,max,med,med,med,1,0.5,0.5,256326,40.32,0,-9.966243691,-10.67098167
,,,,,,,,,,,,,,,
Default,min,max,max,max,med,med,med,1,0.5,1,2650895.24,40.32,0,-9.966243691,-10.67098167
